,Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
34,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Brazil,Primary Energy|Gas,EJ/yr,0.7460621,1.03207,1.58423,1.491494,1.558452,1.749061,1.90665,2.120557,2.246171,2.121476,2.074049,1.919929,1.475488,1.575404,1.652235,1.607479,1.526363,1.561332,1.650728,1.514462
35,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Brazil,Primary Energy|Oil,EJ/yr,4.011104,4.722444,5.179229,4.938673,4.856058,4.764447,4.638504,4.295364,3.83725899999999,3.262844,2.796358,2.342102,1.89361199999999,1.859425,1.951568,2.061873,2.094614,2.073386,2.045344,1.898463
36,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Canada,Primary Energy|Coal,EJ/yr,1.173294,0.981592199999999,0.7736012,0.7061094,0.6925624,0.5105483,0.272002199999999,0.1716522,0.1354539,0.128411,0.1450859,0.1436882,0.1198783,0.131313799999999,0.145692799999999,0.1564121,0.1677389,0.1803572,0.1911817,0.1786374
37,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Canada,Primary Energy|Gas,EJ/yr,3.432715,3.379577,4.08216299999999,4.283908,4.11778399999999,3.84871699999999,3.484648,3.189707,2.897837,2.504597,2.173745,1.76938699999999,1.202975,1.220793,1.229341,1.202898,1.195526,1.277145,1.370715,1.330674
38,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Canada,Primary Energy|Oil,EJ/yr,4.40153,4.431874,4.640274,4.669304,4.605239,4.33458399999999,4.08781,3.72293099999999,3.403519,3.047592,2.721399,2.407325,2.078449,2.03326,2.011261,2.023653,1.965227,1.91162799999999,1.909931,1.796809
39,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Central America and Caribbean,Primary Energy|Coal,EJ/yr,0.04668272,0.059887,0.1044736,0.1824382,0.232165,0.2821608,0.339505499999999,0.4267805,0.501238699999999,0.5592693,0.5716829,0.4773799,0.2765801,0.3187149,0.373428,0.4232575,0.4517816,0.4639002,0.489748099999999,0.463239199999999
40,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Central America and Caribbean,Primary Energy|Gas,EJ/yr,0.6647501,0.8521652,0.8432072,1.14228099999999,1.249358,1.348165,1.43326399999999,1.567312,1.654267,1.724896,1.824595,1.882514,1.787375,1.955889,2.097708,2.182594,2.276988,2.375904,2.482091,2.365784
41,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Central America and Caribbean,Primary Energy|Oil,EJ/yr,1.779245,1.955344,1.902396,1.84201699999999,1.808338,1.74678499999999,1.628069,1.396935,1.227763,1.08327099999999,0.960538699999999,0.838140599999999,0.7091181,0.7009456,0.6870778,0.664693,0.629901199999999,0.604883,0.6017673,0.5742099
42,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Central Asia,Primary Energy|Coal,EJ/yr,1.358117,1.730347,1.871918,2.13793,1.893832,1.40394,1.210359,1.158293,1.14321299999999,1.133473,1.137975,1.100472,0.971799899999999,0.8758383,0.7921236,0.7305807,0.6934343,0.6761136,0.6644303,0.6222933
43,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Central Asia,Primary Energy|Gas,EJ/yr,3.276767,3.802419,4.080247,4.412779,4.674567,5.037472,5.084169,5.098425,4.854406,4.281254,3.79722,3.209751,2.270082,2.251003,2.197526,2.055327,1.924945,1.917159,1.98839799999999,1.844579
